iter	Passed	Remaining
950	3096	159
951	3099	156
952	3103	153
953	3107	149
954	3111	146
955	3114	143
956	3117	140
957	3121	136
958	3124	133
959	3127	130
960	3131	127
961	3134	123
962	3138	120
963	3142	117
964	3145	114
965	3149	110
966	3152	107
967	3157	104
968	3160	101
969	3164	97
970	3168	94
971	3171	91
972	3175	88
973	3178	84
974	3181	81
975	3185	78
976	3188	75
977	3193	71
978	3196	68
979	3200	65
980	3203	62
981	3206	58
982	3209	55
983	3213	52
984	3216	48
985	3220	45
986	3223	42
987	3226	39
988	3229	35
989	3233	32
990	3236	29
991	3239	26
992	3242	22
993	3246	19
994	3249	16
995	3253	13
996	3256	9
997	3259	6
998	3263	3
999	3266	0
